name,propertyNum,time,memory
Map,100000,22.25,12.37
Map,200000,52.40,24.70
Map,300000,90.81,23.17
Map,400000,125.66,28.51
Map,500000,155.51,30.07
Map,600000,217.38,53.26
Map,700000,253.71,56.65
Map,800000,292.05,58.79
Map,900000,336.74,56.11
Map,1000000,407.29,56.12
Map,1100000,471.82,72.37
Map,1200000,551.05,113.08
Map,1300000,627.12,112.43
Map,1400000,665.26,113.24
Map,1500000,705.95,113.12
Map,1600000,758.06,112.86
Map,1700000,801.99,113.27
Map,1800000,851.46,113.28
Map,1900000,901.99,112.50
Map,2000000,992.82,112.91
Map,2100000,1051.83,121.94
Map,2200000,1087.59,142.74
Map,2300000,1240.80,225.06
Map,2400000,1285.76,224.41
Map,2500000,1331.92,225.36
Map,2600000,1374.71,224.70
Map,2700000,1423.20,224.31
Map,2800000,1467.37,224.99
Map,2900000,1516.57,225.39
Map,3000000,1588.54,224.74
Map,3100000,1637.77,225.27
Map,3200000,1688.24,225.30
Map,3300000,1740.67,224.50
Map,3400000,1795.96,225.18
Map,3500000,1843.28,225.73
Map,3600000,1885.35,224.93
Map,3700000,1982.44,224.68
Map,3800000,2081.23,224.68
Map,3900000,2048.76,223.91
Map,4000000,2337.95,223.65
Map,4100000,2463.05,224.85
Map,4200000,2520.19,242.37
Map,4300000,2619.14,263.17
Map,4400000,2731.35,284.23
Map,4500000,3000.15,448.89
Map,4600000,3069.67,449.44
Map,4700000,3036.42,448.77
Map,4800000,3189.33,448.92
Map,4900000,2827.82,448.81
Map,5000000,3412.25,434.64
Map,5100000,3423.88,436.87
Map,5200000,3524.27,434.72
Map,5300000,3535.80,436.23
Map,5400000,3622.11,434.87
Map,5500000,3628.36,436.57
Map,5600000,3708.77,435.15
Map,5700000,3721.00,437.92
Map,5800000,3788.94,435.56
Map,5900000,3848.09,434.22
Map,6000000,4213.87,428.55
Map,6100000,4257.91,427.77
Map,6200000,4311.10,427.76
Map,6300000,4365.02,427.78
Map,6400000,4421.38,427.78
Map,6500000,4473.68,427.93
Map,6600000,4516.23,427.93
Map,6700000,4572.68,428.26
Map,6800000,4765.51,428.63
Map,6900000,4826.53,427.96
