name,propertyNum,time,memory
Object,100000,75.14,17.55
Object,200000,171.77,23.42
Object,300000,264.34,33.44
Object,400000,393.78,44.40
Object,500000,486.31,63.80
Object,600000,583.22,63.75
Object,700000,685.87,70.80
Object,800000,798.19,87.51
Object,900000,928.41,110.35
Object,1000000,1103.14,128.31
Object,1100000,1199.86,130.56
Object,1200000,1307.93,134.19
Object,1300000,1470.78,136.88
Object,1400000,1585.79,148.49
Object,1500000,1714.90,151.85
Object,1600000,1895.82,153.55
Object,1700000,2047.03,152.95
Object,1800000,2239.16,152.41
Object,1900000,2444.50,134.42
Object,2000000,2407.40,249.30
Object,2100000,2531.38,248.89
Object,2200000,2525.74,251.47
Object,2300000,2633.41,256.92
Object,2400000,2750.10,258.69
Object,2500000,2868.25,261.59
Object,2600000,2997.26,263.07
Object,2700000,3109.86,265.59
Object,2800000,3254.68,280.83
Object,2900000,3391.06,273.10
Object,3000000,3587.76,299.94
Object,3100000,3767.07,301.71
Object,3200000,3961.88,301.84
Object,3300000,4148.28,301.70
Object,3400000,4348.70,300.45
Object,3500000,4532.38,296.75
Object,3600000,4783.04,295.83
Object,3700000,5117.97,282.71
Object,3800000,5547.41,262.35
Object,3900000,5356.91,265.72
Object,4000000,5748.58,341.46
Object,4100000,6036.82,326.27
Object,4200000,6049.26,329.09
Object,4300000,6269.92,319.80
Object,4400000,6444.22,317.48
Object,4500000,6481.42,321.86
Object,4600000,6676.52,311.02
Object,4700000,6595.84,314.11
Object,4800000,7002.13,318.34
Object,4900000,6313.36,307.13
Object,5000000,6149.51,498.79
Object,5100000,6275.91,499.65
Object,5200000,6457.90,496.79
Object,5300000,6568.42,494.25
Object,5400000,6714.73,484.27
Object,5500000,6824.24,486.99
Object,5600000,7061.80,506.31
Object,5700000,7199.18,506.44
Object,5800000,7351.70,486.45
Object,5900000,7637.85,490.88
Object,6000000,7708.74,555.53
Object,6100000,7839.55,550.42
Object,6200000,8020.56,587.99
Object,6300000,8191.60,552.83
Object,6400000,8483.41,575.94
Object,6500000,8674.53,541.92
Object,6600000,8874.75,583.71
Object,6700000,9118.35,539.67
Object,6800000,9727.92,561.27
Object,6900000,10083.54,570.52
