name,propertyNum,updateOrDeleteRatial,accessRatial,time,memory
Object,100000,0,0,48.61,17.78
Object,100000,0,0.1,58.57,17.64
Object,100000,0,0.2,68.70,17.83
Object,100000,0,0.3,68.78,18.28
Object,100000,0,0.4,62.21,18.50
Object,100000,0,0.5,64.46,18.97
Object,100000,0,0.6,65.88,19.18
Object,100000,0,0.7,73.82,19.66
Object,100000,0,0.8,84.43,19.89
Object,100000,0,0.9,90.25,20.12
Object,100000,0,1,71.28,20.58
Object,100000,0.1,0,54.00,18.14
Object,100000,0.1,0.1,58.95,18.33
Object,100000,0.1,0.2,62.83,18.65
Object,100000,0.1,0.3,57.83,18.87
Object,100000,0.1,0.4,64.00,19.10
Object,100000,0.1,0.5,61.79,19.57
Object,100000,0.1,0.6,68.96,19.80
Object,100000,0.1,0.7,66.61,20.03
Object,100000,0.1,0.8,72.11,20.24
Object,100000,0.1,0.9,78.70,20.73
Object,100000,0.1,1,77.38,20.94
Object,100000,0.2,0,56.67,18.57
Object,100000,0.2,0.1,58.61,18.79
Object,100000,0.2,0.2,65.39,19.03
Object,100000,0.2,0.3,91.55,19.24
Object,100000,0.2,0.4,79.15,19.72
Object,100000,0.2,0.5,65.02,19.94
Object,100000,0.2,0.6,74.10,20.16
Object,100000,0.2,0.7,67.39,20.39
Object,100000,0.2,0.8,77.19,20.86
Object,100000,0.2,0.9,74.58,21.10
Object,100000,0.2,1,96.94,21.32
Object,100000,0.3,0,67.76,18.95
Object,100000,0.3,0.1,56.03,19.17
Object,100000,0.3,0.2,61.02,19.39
Object,100000,0.3,0.3,67.27,19.86
Object,100000,0.3,0.4,67.56,20.11
Object,100000,0.3,0.5,82.44,20.32
Object,100000,0.3,0.6,69.62,20.54
Object,100000,0.3,0.7,77.30,21.02
Object,100000,0.3,0.8,68.47,21.24
Object,100000,0.3,0.9,71.74,21.46
Object,100000,0.3,1,76.45,21.67
Object,100000,0.4,0,50.66,13.32
Object,100000,0.4,0.1,56.71,13.54
Object,100000,0.4,0.2,56.67,14.00
Object,100000,0.4,0.3,64.04,14.23
Object,100000,0.4,0.4,79.04,14.46
Object,100000,0.4,0.5,64.46,14.69
Object,100000,0.4,0.6,74.45,15.16
Object,100000,0.4,0.7,71.45,15.39
Object,100000,0.4,0.8,72.09,15.60
Object,100000,0.4,0.9,89.84,16.08
Object,100000,0.4,1,79.17,16.32
Object,100000,0.5,0,51.75,13.68
Object,100000,0.5,0.1,55.27,14.14
Object,100000,0.5,0.2,67.07,14.37
Object,100000,0.5,0.3,80.09,14.60
Object,100000,0.5,0.4,82.15,14.85
Object,100000,0.5,0.5,69.87,15.31
Object,100000,0.5,0.6,79.83,15.52
Object,100000,0.5,0.7,79.97,15.76
Object,100000,0.5,0.8,125.07,15.98
Object,100000,0.5,0.9,90.04,16.45
Object,100000,0.5,1,82.75,16.69
Object,100000,0.6,0,65.76,14.31
Object,100000,0.6,0.1,63.97,14.53
Object,100000,0.6,0.2,60.40,14.75
Object,100000,0.6,0.3,62.70,14.96
Object,100000,0.6,0.4,76.17,15.44
Object,100000,0.6,0.5,86.95,15.67
Object,100000,0.6,0.6,88.91,15.91
Object,100000,0.6,0.7,90.83,16.38
Object,100000,0.6,0.8,83.52,16.59
Object,100000,0.6,0.9,99.29,16.83
Object,100000,0.6,1,129.77,17.04
Object,100000,0.7,0,66.07,14.69
Object,100000,0.7,0.1,65.79,14.90
Object,100000,0.7,0.2,72.41,15.13
Object,100000,0.7,0.3,68.66,15.61
Object,100000,0.7,0.4,70.39,15.83
Object,100000,0.7,0.5,72.32,16.06
Object,100000,0.7,0.6,81.97,16.52
Object,100000,0.7,0.7,80.64,16.75
Object,100000,0.7,0.8,81.75,16.96
Object,100000,0.7,0.9,86.97,17.19
Object,100000,0.7,1,90.41,17.67
Object,100000,0.8,0,64.87,15.05
Object,100000,0.8,0.1,66.99,15.27
Object,100000,0.8,0.2,70.52,15.75
Object,100000,0.8,0.3,74.11,15.97
Object,100000,0.8,0.4,80.70,16.19
Object,100000,0.8,0.5,75.57,16.67
Object,100000,0.8,0.6,109.46,16.89
Object,100000,0.8,0.7,82.04,17.12
Object,100000,0.8,0.8,86.36,17.33
Object,100000,0.8,0.9,99.38,17.80
Object,100000,0.8,1,91.10,18.06
Object,100000,0.9,0,66.64,15.42
Object,100000,0.9,0.1,69.53,15.89
Object,100000,0.9,0.2,75.38,16.13
Object,100000,0.9,0.3,73.71,16.35
Object,100000,0.9,0.4,78.59,16.84
Object,100000,0.9,0.5,82.54,17.06
Object,100000,0.9,0.6,92.49,17.26
Object,100000,0.9,0.7,84.27,17.50
Object,100000,0.9,0.8,85.56,17.98
Object,100000,0.9,0.9,88.72,18.21
Object,100000,0.9,1,90.99,18.41
Object,100000,1,0,69.15,18.02
Object,100000,1,0.1,74.38,18.51
Object,100000,1,0.2,79.81,17.76
Object,100000,1,0.3,80.46,18.81
Object,100000,1,0.4,83.73,19.31
Object,100000,1,0.5,84.03,18.84
Object,100000,1,0.6,89.06,19.60
Object,100000,1,0.7,92.17,18.63
Object,100000,1,0.8,96.73,19.70
Object,100000,1,0.9,92.36,18.80
Object,100000,1,1,93.63,20.80
Object,200000,0,0,94.02,22.40
Object,200000,0,0.1,103.65,22.71
Object,200000,0,0.2,112.54,23.01
Object,200000,0,0.3,121.69,23.07
Object,200000,0,0.4,127.70,23.37
Object,200000,0,0.5,130.97,23.67
Object,200000,0,0.6,138.98,23.98
